Date,DJI,SP500,CAC40,NYSE,NASDAQ,FTSE,N225,SSE,SZ,SH,HSI
2009-12-31,10428.0498046875,1115.0999755859375,3936.330078125,7184.9599609375,2269.14990234375,5412.89990234375,,3277.138916015625,13699.81640625,3437.4599609375,21872.5
2010-01-04,10583.9599609375,1132.989990234375,4013.969970703125,7326.740234375,2308.419921875,5500.2998046875,10654.7900390625,3243.760009765625,13533.3876953125,3402.31005859375,21823.279296875
2010-01-05,10572.01953125,1136.52001953125,4012.909912109375,7354.8701171875,2308.7099609375,5522.5,10681.830078125,3282.178955078125,13517.228515625,3442.580078125,22279.580078125
2010-01-06,10573.6796875,1137.1400146484375,4017.669921875,7377.7001953125,2301.090087890625,5530.0,10731.4501953125,3254.215087890625,13505.0283203125,3413.159912109375,22416.669921875
2010-01-07,10606.8603515625,1141.68994140625,4024.800048828125,7393.93017578125,2300.050048828125,5526.7001953125,10681.66015625,3192.77587890625,13235.33203125,3348.659912109375,22269.44921875
2010-01-08,10618.1904296875,1144.97998046875,4045.139892578125,7425.35009765625,2317.169921875,5534.2001953125,10798.3203125,3195.9970703125,13267.2919921875,3351.8701171875,22296.75
2010-01-11,10663.990234375,1146.97998046875,4043.090087890625,7449.0498046875,2312.409912109375,5538.10009765625,,3212.75,13160.9423828125,3369.43994140625,22411.51953125
2010-01-12,10627.259765625,1136.219970703125,4000.050048828125,7370.4501953125,2282.31005859375,5498.7001953125,10879.1396484375,3273.966064453125,13381.099609375,3433.760009765625,22326.640625
2010-01-13,10680.76953125,1145.6800537109375,4000.860107421875,7430.14013671875,2307.89990234375,5473.5,10735.0302734375,3172.657958984375,13016.4140625,3327.139892578125,21748.599609375
2010-01-14,10710.5498046875,1148.4599609375,4015.77001953125,7448.52001953125,2316.739990234375,5498.2001953125,10907.6796875,3215.550048828125,13204.04296875,3372.159912109375,21716.94921875
2010-01-15,10609.650390625,1136.030029296875,3954.3798828125,7356.7900390625,2287.989990234375,5455.39990234375,10982.099609375,3224.152099609375,13264.2216796875,3381.139892578125,21654.16015625
2010-01-18,,,3977.4599609375,,,5494.39990234375,10855.080078125,3237.097900390625,13361.3701171875,3394.56005859375,21460.009765625
2010-01-19,10725.4296875,1150.22998046875,4009.669921875,7443.68017578125,2320.39990234375,5513.10009765625,10764.900390625,3246.8740234375,13350.5205078125,3404.909912109375,21677.98046875
2010-01-20,10603.150390625,1138.0400390625,3928.949951171875,7329.830078125,2291.25,5420.7998046875,10737.51953125,3151.85009765625,12916.005859375,3304.949951171875,21286.169921875
2010-01-21,10389.8798828125,1116.47998046875,3862.159912109375,7174.4599609375,2265.699951171875,5335.10009765625,10868.41015625,3158.863037109375,12917.005859375,3312.159912109375,20862.669921875
2010-01-22,10172.98046875,1091.760009765625,3820.780029296875,7030.60986328125,2205.2900390625,5303.0,10590.5498046875,3128.587890625,12595.798828125,3280.60009765625,20726.1796875
2010-01-25,10196.8603515625,1096.780029296875,3781.85009765625,7073.1298828125,2210.800048828125,5260.2998046875,10512.6904296875,3094.410888671875,12470.05078125,3245.0,20598.55078125
2010-01-26,10194.2900390625,1092.1700439453125,3807.0400390625,7028.31982421875,2203.72998046875,5276.89990234375,10325.2802734375,3019.39404296875,12162.4228515625,3166.18994140625,20109.330078125
2010-01-27,10236.16015625,1097.5,3759.800048828125,7035.60986328125,2221.409912109375,5217.5,10252.080078125,2986.60693359375,12046.64453125,3131.6298828125,20033.0703125
2010-01-28,10120.4599609375,1084.530029296875,3688.7900390625,6956.990234375,2179.0,5145.7001953125,10414.2900390625,2994.14306640625,12120.3447265625,3139.47998046875,20356.369140625
2010-01-29,10067.330078125,1073.8699951171875,3739.4599609375,6883.77978515625,2147.35009765625,5188.5,10198.0400390625,2989.2919921875,12137.064453125,3134.75,20121.990234375
2010-02-01,10185.5302734375,1089.18994140625,3762.010009765625,7008.22998046875,2171.199951171875,5247.39990234375,10205.01953125,2941.360107421875,11988.9765625,3084.56005859375,20243.75
2010-02-02,10296.849609375,1103.3199462890625,3812.1298828125,7101.43994140625,2190.06005859375,5283.2998046875,10371.08984375,2934.712890625,11912.7958984375,3077.580078125,20272.1796875
2010-02-03,10270.5498046875,1097.280029296875,3793.469970703125,7042.6201171875,2190.909912109375,5253.2001953125,10404.330078125,3003.8349609375,12262.43359375,3150.010009765625,20722.080078125
2010-02-04,10002.1796875,1063.1099853515625,3689.25,6787.85986328125,2125.429931640625,5139.2998046875,10355.98046875,2995.30810546875,12169.34375,3140.97998046875,20341.640625
2010-02-05,10012.23046875,1066.18994140625,3563.760009765625,6782.75,2141.1201171875,5060.89990234375,10057.08984375,2939.402099609375,11917.005859375,3082.35009765625,19665.080078125
2010-02-08,9908.3896484375,1056.739990234375,3607.27001953125,6713.8701171875,2126.050048828125,5092.2998046875,9951.8203125,2935.174072265625,11947.2060546875,3077.840087890625,19550.890625
2010-02-09,10058.6396484375,1070.52001953125,3612.760009765625,6835.16015625,2150.8701171875,5111.7998046875,9932.900390625,2948.842041015625,11970.306640625,3092.110107421875,19790.279296875
2010-02-10,10038.3798828125,1068.1300048828125,3635.610107421875,6819.1201171875,2147.8701171875,5132.0,9963.990234375,2982.5,12185.2431640625,3127.389892578125,19922.220703125
2010-02-11,10144.1904296875,1078.469970703125,3616.75,6898.72021484375,2177.409912109375,5161.5,,2985.4990234375,12224.462890625,3130.429931640625,20290.689453125
2010-02-12,10099.1396484375,1075.510009765625,3599.070068359375,6874.56005859375,2183.530029296875,5142.5,10092.1904296875,3018.133056640625,12304.6416015625,3164.64990234375,20268.689453125
2010-02-15,,,3609.219970703125,,,5167.5,10013.2998046875,,,,
2010-02-16,10268.8095703125,1094.8699951171875,3669.0400390625,7013.35009765625,2214.18994140625,5244.10009765625,10034.25,,,,
2010-02-17,10309.240234375,1099.510009765625,3725.2099609375,7035.2001953125,2226.2900390625,5276.60009765625,10306.830078125,,,,20534.009765625
2010-02-18,10392.900390625,1106.75,3747.830078125,7080.3798828125,2241.7099609375,5325.10009765625,10335.6904296875,,,,20422.150390625
2010-02-19,10402.349609375,1109.1700439453125,3769.5400390625,7083.25,2243.8701171875,5358.2001953125,10123.580078125,,,,19894.01953125
2010-02-22,10383.3798828125,1108.010009765625,3756.699951171875,7078.52978515625,2242.030029296875,5352.10009765625,10400.4697265625,3003.39794921875,12213.4033203125,3149.1298828125,20377.26953125
2010-02-23,10282.41015625,1094.5999755859375,3707.06005859375,6974.60009765625,2213.43994140625,5315.10009765625,10352.099609375,2982.574951171875,12069.07421875,3127.2099609375,20623.0
2010-02-24,10374.16015625,1105.239990234375,3715.679931640625,7030.669921875,2235.89990234375,5342.89990234375,10198.830078125,3022.177001953125,12281.953125,3168.85009765625,20467.740234375
2010-02-25,10321.0302734375,1102.93994140625,3640.77001953125,7013.4501953125,2234.219970703125,5278.2001953125,10101.9599609375,3060.617919921875,12494.1298828125,3209.18994140625,20399.5703125
2010-02-26,10325.259765625,1104.489990234375,3708.800048828125,7035.0400390625,2238.260009765625,5354.5,10126.0302734375,3051.943115234375,12436.5205078125,3200.050048828125,20608.69921875
2010-03-01,10403.7900390625,1115.7099609375,3769.5400390625,7100.75,2273.570068359375,5405.89990234375,10172.0595703125,3087.842041015625,12588.1181640625,3237.85009765625,21056.9296875
2010-03-02,10405.98046875,1118.31005859375,3811.919921875,7135.97021484375,2280.7900390625,5484.10009765625,10221.83984375,3073.10791015625,12548.76953125,3222.5,20906.109375
2010-03-03,10396.759765625,1118.7900390625,3842.52001953125,7164.66015625,2280.679931640625,5533.2001953125,10253.1396484375,3097.0048828125,12612.548828125,3247.550048828125,20876.7890625
2010-03-04,10444.1396484375,1122.969970703125,3828.409912109375,7173.06982421875,2292.31005859375,5527.2001953125,10145.7197265625,3023.373046875,12312.7509765625,3170.239990234375,20575.779296875
2010-03-05,10566.2001953125,1138.699951171875,3910.419921875,7291.31005859375,2326.35009765625,5599.7998046875,10368.9599609375,3031.06494140625,12341.6015625,3178.14990234375,20787.970703125
2010-03-08,10552.51953125,1138.5,3903.5400390625,7292.52978515625,2332.2099609375,5606.7001953125,10585.919921875,3053.23193359375,12437.4306640625,3201.3798828125,21196.869140625
2010-03-09,10564.3798828125,1140.449951171875,3910.010009765625,7294.02001953125,2340.679931640625,5602.2998046875,10567.650390625,3069.14111328125,12507.5205078125,3218.110107421875,21207.55078125
2010-03-10,10567.330078125,1145.6099853515625,3943.550048828125,7327.669921875,2358.949951171875,5640.60009765625,10563.919921875,3048.927001953125,12391.51171875,3196.949951171875,21208.2890625
2010-03-11,10611.83984375,1150.239990234375,3928.949951171875,7353.240234375,2368.4599609375,5617.2998046875,10664.9501953125,3051.281982421875,12367.5517578125,3199.6298828125,21228.19921875
2010-03-12,10624.6904296875,1149.989990234375,3927.39990234375,7362.85009765625,2367.659912109375,5625.7001953125,10751.259765625,3013.412109375,12168.9736328125,3159.830078125,21209.740234375
2010-03-15,10642.150390625,1150.510009765625,3890.909912109375,7350.9599609375,2362.2099609375,5593.89990234375,10751.98046875,2976.93896484375,11903.1962890625,3121.510009765625,21079.099609375
2010-03-16,10685.98046875,1159.4599609375,3938.949951171875,7426.7001953125,2378.010009765625,5620.39990234375,10721.7099609375,2992.841064453125,11948.6259765625,3138.1298828125,21022.9296875
2010-03-17,10733.669921875,1166.2099609375,3957.889892578125,7474.1298828125,2389.090087890625,5644.60009765625,10846.98046875,3050.47900390625,12233.6328125,3198.60009765625,21384.490234375
2010-03-18,10779.169921875,1165.8299560546875,3938.179931640625,7443.56982421875,2391.280029296875,5642.60009765625,10744.0302734375,3046.089111328125,12236.59375,3193.969970703125,21330.669921875
2010-03-19,10741.98046875,1159.9000244140625,3925.43994140625,7386.85009765625,2374.409912109375,5650.10009765625,10824.7197265625,3067.75,12352.78125,3216.679931640625,21370.8203125
2010-03-22,10785.8896484375,1165.81005859375,3928.0,7419.02001953125,2395.39990234375,5644.5,,3074.575927734375,12352.3115234375,3223.85009765625,20933.25
2010-03-23,10888.830078125,1174.1700439453125,3952.550048828125,7478.85986328125,2415.239990234375,5673.60009765625,10774.150390625,3053.125,12304.841796875,3201.330078125,20987.779296875
2010-03-24,10836.150390625,1167.719970703125,3949.81005859375,7408.16015625,2398.760009765625,5677.89990234375,10815.0302734375,3056.80810546875,12289.9013671875,3205.14990234375,21008.619140625
2010-03-25,10841.2099609375,1165.72998046875,4000.47998046875,7385.60009765625,2397.409912109375,5727.7001953125,10828.849609375,3019.176025390625,12086.7646484375,3165.610107421875,20778.55078125
2010-03-26,10850.3603515625,1166.5899658203125,3988.929931640625,7403.580078125,2395.1298828125,5703.0,10996.3701171875,3059.715087890625,12240.2236328125,3208.219970703125,21053.109375
2010-03-29,10895.8603515625,1173.219970703125,4000.659912109375,7464.89990234375,2404.360107421875,5710.7001953125,10986.4697265625,3123.798095703125,12552.3095703125,3275.550048828125,21237.4296875
2010-03-30,10907.419921875,1173.27001953125,3987.409912109375,7460.72021484375,2410.68994140625,5672.2998046875,11097.1396484375,3128.468017578125,12592.8984375,3280.449951171875,21374.7890625
2010-03-31,10856.6298828125,1169.4300537109375,3974.010009765625,7447.7998046875,2397.9599609375,5679.60009765625,11089.9404296875,3109.10498046875,12494.2099609375,3260.0,21239.349609375
2010-04-01,10927.0703125,1178.0999755859375,4034.22998046875,7539.0498046875,2402.580078125,5744.89990234375,11244.400390625,3147.416015625,12685.91796875,3300.070068359375,21537.0
2010-04-02,,,,,,,11286.08984375,3157.95703125,12767.7177734375,3311.14990234375,
2010-04-05,10973.5498046875,1187.43994140625,,7600.93017578125,2429.530029296875,,11339.2998046875,,,,
2010-04-06,10969.990234375,1189.43994140625,4053.93994140625,7604.43994140625,2436.81005859375,5780.39990234375,11282.3203125,3158.680908203125,12702.697265625,3311.89990234375,
2010-04-07,10897.51953125,1182.449951171875,4026.969970703125,7546.18017578125,2431.159912109375,5762.10009765625,11292.830078125,3148.221923828125,12631.828125,3300.800048828125,21928.76953125
2010-04-08,10927.0703125,1186.43994140625,3978.4599609375,7565.330078125,2436.81005859375,5712.7001953125,11168.2001953125,3118.708984375,12426.8603515625,3269.7099609375,21867.0390625
2010-04-09,10997.349609375,1194.3699951171875,4050.5400390625,7629.0498046875,2454.050048828125,5771.0,11204.33984375,3145.346923828125,12554.9794921875,3297.68994140625,22208.5
2010-04-12,11005.9697265625,1196.47998046875,4050.5,7641.75,2457.8701171875,5777.7001953125,11251.900390625,3129.262939453125,12399.0615234375,3280.89990234375,22138.169921875
2010-04-13,11019.419921875,1197.300048828125,4031.989990234375,7638.35009765625,2465.989990234375,5761.7001953125,11161.23046875,3161.2509765625,12511.75,3314.610107421875,22103.529296875
2010-04-14,11123.1103515625,1210.6500244140625,4057.699951171875,7728.9599609375,2504.860107421875,5796.2998046875,11204.900390625,3166.18310546875,12557.55859375,3319.780029296875,22121.4296875
2010-04-15,11144.5703125,1211.6700439453125,4065.64990234375,7719.66015625,2515.68994140625,5825.0,11273.7900390625,3164.966064453125,12513.150390625,3318.489990234375,22157.8203125
2010-04-16,11018.66015625,1192.1300048828125,3986.6298828125,7584.6201171875,2481.260009765625,5744.0,11102.1796875,3130.302001953125,12416.7216796875,3282.010009765625,21865.259765625
2010-04-19,11092.0498046875,1197.52001953125,3970.469970703125,7596.56005859375,2480.110107421875,5727.89990234375,10908.76953125,2980.297119140625,11644.44921875,3124.550048828125,21405.169921875
2010-04-20,11117.0595703125,1207.1700439453125,4026.64990234375,7669.10986328125,2500.31005859375,5783.7001953125,10900.6796875,2979.532958984375,11538.8515625,3123.639892578125,21623.380859375
2010-04-21,11124.919921875,1205.93994140625,3977.669921875,7644.669921875,2504.610107421875,5723.39990234375,11090.0498046875,3033.278076171875,11766.6884765625,3179.909912109375,21510.9296875
2010-04-22,11134.2900390625,1208.6700439453125,3924.64990234375,7642.830078125,2519.070068359375,5665.2998046875,10949.08984375,2999.48388671875,11703.8291015625,3144.330078125,21454.939453125
2010-04-23,11204.2802734375,1217.280029296875,3951.300048828125,7701.60986328125,2530.14990234375,5723.7001953125,10914.4599609375,2983.537109375,11702.7392578125,3127.489990234375,21244.490234375
2010-04-26,11205.0302734375,1212.050048828125,3997.389892578125,7677.64990234375,2522.949951171875,5753.89990234375,11165.7900390625,2969.5029296875,11602.5,3112.77001953125,21587.060546875
2010-04-27,10991.990234375,1183.7099609375,3844.60009765625,7463.08984375,2471.469970703125,5603.5,11212.66015625,2907.927978515625,11355.2421875,3048.280029296875,21261.7890625
2010-04-28,11045.26953125,1191.3599853515625,3787.0,7499.72021484375,2471.72998046875,5586.60009765625,10924.7900390625,2900.3310546875,11333.72265625,3040.4599609375,20949.400390625
2010-04-29,11167.3203125,1206.780029296875,3840.6201171875,7589.2900390625,2511.919921875,5617.7998046875,,2868.431884765625,11196.224609375,3007.18994140625,20778.919921875
2010-04-30,11008.6103515625,1186.68994140625,3816.989990234375,7474.39990234375,2461.18994140625,5553.2998046875,11057.400390625,2870.611083984375,11162.4150390625,3009.3701171875,21108.58984375
2010-05-03,11151.830078125,1202.260009765625,3828.4599609375,7543.1201171875,2498.739990234375,,,,,,20811.359375
2010-05-04,10926.76953125,1173.5999755859375,3689.2900390625,7337.25,2424.25,5411.10009765625,,2835.277099609375,10960.646484375,2972.2900390625,20763.05078125
2010-05-05,10866.830078125,1165.8699951171875,3636.030029296875,7258.02001953125,2402.2900390625,5341.89990234375,,2857.15087890625,11003.607421875,2995.7099609375,20327.5390625
2010-05-06,10520.3203125,1128.1500244140625,3556.110107421875,7011.919921875,2319.639892578125,5261.0,10695.6904296875,2739.701904296875,10422.4423828125,2872.47998046875,20133.41015625
2010-05-07,10380.4296875,1110.8800048828125,3392.590087890625,6916.18017578125,2265.639892578125,5123.0,10364.58984375,2688.383056640625,10146.3056640625,2818.860107421875,19920.2890625
2010-05-10,10785.1396484375,1159.72998046875,3720.2900390625,7257.6201171875,2374.669921875,5387.39990234375,10530.7001953125,2698.757080078125,10263.935546875,2829.7900390625,20426.640625
2010-05-11,10748.259765625,1155.7900390625,3693.199951171875,7221.66015625,2375.31005859375,5334.2001953125,10411.099609375,2647.572998046875,10091.0869140625,2775.97998046875,20146.509765625
2010-05-12,10896.91015625,1171.6700439453125,3733.8701171875,7316.35986328125,2425.02001953125,5383.5,10394.0302734375,2655.714111328125,10146.515625,2784.820068359375,20212.490234375
2010-05-13,10782.9501953125,1157.43994140625,3731.5400390625,7234.3701171875,2394.360107421875,5433.7001953125,10620.5498046875,2710.507080078125,10417.6923828125,2842.159912109375,20422.4609375
2010-05-14,10620.16015625,1135.6800537109375,3560.360107421875,7077.64013671875,2346.85009765625,5262.89990234375,10462.509765625,2696.62890625,10330.0234375,2827.489990234375,20145.4296875
2010-05-17,10625.830078125,1136.93994140625,3543.550048828125,7063.830078125,2354.22998046875,5262.5,10235.759765625,2559.930908203125,9731.611328125,2684.199951171875,19715.19921875
